,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
lam[3299],1.914,0.657,0.802,2.952,0.006,0.005,12379.0,6265.0,1.0
lam[3300],1.88,0.669,0.758,2.922,0.006,0.005,13582.0,6569.0,1.0
lam[3301],1.593,0.731,0.45,2.832,0.007,0.005,12010.0,6621.0,1.0
lam[3302],1.249,0.726,0.098,2.451,0.006,0.005,14641.0,6108.0,1.0
lam[3303],0.798,0.794,-0.555,2.02,0.007,0.006,13390.0,6626.0,1.0
lam[3304],0.302,0.886,-1.152,1.744,0.008,0.009,11480.0,6778.0,1.0
lam[3305],-0.058,0.948,-1.664,1.437,0.009,0.011,10982.0,6423.0,1.0
lam[3306],-0.249,0.994,-1.857,1.391,0.009,0.011,11103.0,6156.0,1.0
lam[3307],-0.336,1.003,-2.004,1.33,0.01,0.011,10946.0,6204.0,1.0
lam[3308],-0.365,1.026,-2.009,1.344,0.01,0.011,10755.0,6385.0,1.0
lam[3309],-0.364,1.024,-1.942,1.419,0.01,0.011,9713.0,6140.0,1.0
lam[3310],-0.351,1.011,-1.985,1.347,0.01,0.012,9365.0,5425.0,1.0
lam[3311],-0.341,1.003,-2.016,1.282,0.01,0.011,9676.0,5579.0,1.0
lam[3312],-0.347,0.998,-1.852,1.43,0.01,0.01,9825.0,6359.0,1.0
lam[3313],-0.355,1.001,-2.018,1.259,0.01,0.011,10093.0,5734.0,1.0
lam[3314],-0.355,1.002,-2.014,1.28,0.01,0.011,9525.0,5833.0,1.0
lam[3315],-0.351,0.982,-1.989,1.224,0.011,0.011,8586.0,5762.0,1.0
lam[3316],-0.347,0.978,-1.923,1.267,0.01,0.01,8961.0,6021.0,1.0
lam[3317],-0.344,0.999,-1.993,1.27,0.01,0.011,9328.0,6028.0,1.0
lam[3318],-0.318,1.0,-1.928,1.351,0.01,0.011,9824.0,6110.0,1.0
lam[3319],-0.236,1.005,-1.87,1.411,0.01,0.011,10082.0,6486.0,1.0
lam[3320],-0.234,1.001,-1.88,1.36,0.01,0.011,10031.0,6198.0,1.0
lam[3321],-0.3,0.996,-1.946,1.321,0.011,0.011,9025.0,5505.0,1.0
lam[3322],-0.323,0.976,-1.96,1.238,0.01,0.011,8992.0,5593.0,1.0
lam[3323],-0.338,0.972,-1.892,1.282,0.01,0.01,9331.0,5919.0,1.0
lam[3324],-0.35,0.994,-1.998,1.257,0.01,0.01,9244.0,6028.0,1.0
lam[3325],-0.36,0.98,-1.979,1.25,0.011,0.01,8616.0,6020.0,1.0
lam[3326],-0.364,0.973,-1.934,1.25,0.01,0.011,8938.0,5590.0,1.0
lam[3327],-0.372,0.991,-1.968,1.278,0.01,0.011,9169.0,5549.0,1.0
lam[3328],-0.378,0.984,-2.075,1.175,0.01,0.01,8909.0,5996.0,1.0
lam[3329],-0.368,0.991,-1.916,1.348,0.01,0.01,9059.0,6540.0,1.0
lam[3330],-0.355,1.004,-1.97,1.319,0.01,0.01,9567.0,5605.0,1.0
lam[3331],-0.331,1.004,-2.056,1.22,0.01,0.011,10127.0,6426.0,1.0
lam[3332],-0.241,0.987,-1.952,1.27,0.009,0.011,11101.0,6013.0,1.0
lam[3333],-0.103,0.949,-1.698,1.41,0.009,0.011,11066.0,6374.0,1.0
lam[3334],0.011,0.912,-1.445,1.538,0.009,0.01,11443.0,6462.0,1.0
lam[3335],0.1,0.927,-1.388,1.664,0.009,0.01,11412.0,6638.0,1.0
