,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
f_rotated_[Colombia],1.013,0.496,0.248,1.848,0.006,0.004,8043.0,2620.0,1.0
f_rotated_[Comoros],-0.175,0.639,-1.207,0.886,0.008,0.01,6289.0,2830.0,1.0
f_rotated_[Cook Islands],0.33,0.625,-0.644,1.311,0.007,0.01,7342.0,2717.0,1.0
f_rotated_[Costa Rica],0.555,0.529,-0.287,1.431,0.007,0.006,5424.0,3118.0,1.0
f_rotated_[Côte d'Ivoire],-0.177,0.702,-1.305,0.969,0.009,0.011,5965.0,2708.0,1.0
f_rotated_[Croatia],-0.303,0.924,-1.803,1.226,0.011,0.017,7338.0,2534.0,1.0
f_rotated_[Cuba],0.951,0.68,-0.154,2.02,0.011,0.008,3590.0,3094.0,1.0
f_rotated_[Curaçao],-0.418,0.992,-2.015,1.206,0.015,0.016,4170.0,2448.0,1.0
f_rotated_[Cyprus],0.214,0.986,-1.361,1.893,0.013,0.017,6014.0,2421.0,1.0
f_rotated_[Czech Republic],-0.321,0.962,-1.931,1.225,0.011,0.017,8294.0,2603.0,1.0
f_rotated_[Democratic Republic of the Congo],0.336,0.643,-0.678,1.423,0.008,0.01,6717.0,2782.0,1.0
f_rotated_[Denmark],-0.376,0.956,-1.971,1.188,0.012,0.016,6982.0,2536.0,1.0
f_rotated_[Djibouti],-0.065,0.665,-1.174,0.981,0.009,0.011,5895.0,2875.0,1.0
f_rotated_[Dominican Republic],0.575,0.632,-0.478,1.558,0.014,0.01,2208.0,3060.0,1.0
f_rotated_[Dominica],0.308,0.903,-1.214,1.724,0.012,0.015,5409.0,2843.0,1.0
f_rotated_[Ecuador],0.343,0.618,-0.672,1.342,0.007,0.008,8014.0,3268.0,1.0
f_rotated_[Egypt],-0.358,0.991,-1.984,1.253,0.012,0.017,7424.0,2599.0,1.0
f_rotated_[El Salvador],0.2,0.682,-0.877,1.333,0.01,0.01,4528.0,2668.0,1.0
f_rotated_[Equatorial Guinea],0.063,0.903,-1.331,1.627,0.014,0.014,4310.0,2915.0,1.0
f_rotated_[Eritrea],-0.297,0.93,-1.906,1.153,0.013,0.014,5409.0,2989.0,1.0
f_rotated_[Estonia],-0.515,0.905,-1.944,0.995,0.011,0.013,7289.0,2798.0,1.0
f_rotated_[Ethiopia],-0.126,0.763,-1.404,1.111,0.009,0.013,7294.0,3013.0,1.0
f_rotated_[Falkland Islands],-0.333,0.949,-1.853,1.238,0.011,0.016,6967.0,2765.0,1.0
f_rotated_[Faroe Islands],-0.335,0.945,-1.889,1.182,0.012,0.017,5914.0,2365.0,1.0
