LOCATION_TYPE,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,GAUL_AD2,POINT_ID,UNIQUE_LOCATION,X,Y,YEAR,COUNTRY,REGION
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1980,Indonesia,Asia
polygon,1,1011447,1217,-999,-999,1006163,106.694737,10.744253,1980,Viet Nam,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1981,Viet Nam,Asia
polygon,2,63,398,14604,-999,92325,-82.359389,23.136614,1981,Cuba,Americas
polygon,0,83,-999,-999,-999,3207,177.893439,-17.689834,1981,Fiji,Oceania
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1981,Thailand,Asia
polygon,2,240,1761,26425,-999,104146,100.670111,13.708336,1981,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1981,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1981,Puerto Rico,Americas
polygon,2,258,3268,68762,-999,146483,-64.928468,18.352998,1981,United States Virgin Islands,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1981,Malaysia,Asia
polygon,2,17,3270,5245,-999,82966,142.283636,-10.601234,1981,Australia,Oceania
polygon,1,1006344,3420,-999,-999,1014777,-102.655394,23.293966,1981,Mexico,Americas
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1981,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1981,Indonesia,Asia
polygon,1,240,3070,-999,-999,29953,99.536162,16.328773,1981,Thailand,Asia
polygon,2,37,624,10673,-999,88394,-60.717424,3.118279,1981,Brazil,Americas
polygon,0,71,-999,-999,-999,3195,-61.356225,15.427064,1981,Dominica,Americas
polygon,1,240,64837,-999,-999,29970,102.581123,16.405946,1981,Thailand,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1981,Niue,Oceania
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1981,Malaysia,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1981,Indonesia,Asia
polygon,1,1011447,1217,-999,-999,1006163,106.694737,10.744253,1981,Viet Nam,Asia
polygon,1,63,398,-999,-999,18001,-82.269321,23.072677,1981,Cuba,Americas
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1982,Viet Nam,Asia
polygon,0,83,-999,-999,-999,3207,177.893439,-17.689834,1982,Fiji,Oceania
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1982,Thailand,Asia
polygon,2,240,1761,26425,-999,104146,100.670111,13.708336,1982,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1982,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1982,Puerto Rico,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1982,Malaysia,Asia
polygon,1,1006344,3420,-999,-999,1014777,-102.655394,23.293966,1982,Mexico,Americas
